c_r_rc_100_100/c101.txt ,1.686874465,1.686874465,0,4.274279118,,Instancia,Soluci—n inicial 1era iteraci—n,Mejor Soluci—n Inicial,Mejor Encontrado ILS,GAP %,Tiempo (s)
c_r_rc_100_100/c101.txt ,1.665529125,1.678924512,0.804272136,6.342713118,,,,,,,
c_r_rc_100_100/c101.txt ,1.630890479,1.690217959,3.63773537,7.329105139,,,,,,,
c_r_rc_100_100/c101.txt ,1.629066327,1.677666126,2.983291594,9.010031939,,,,,,,
c_r_rc_100_100/c101.txt ,1.680280862,1.682821935,0.151229093,8.237062931,,,,,,,
c_r_rc_100_100/c101.txt ,1.638103613,1.638103613,0,4.170355082,,,,,,,
c_r_rc_100_100/c101.txt ,1.621899342,1.665584613,2.693463778,5.718916178,,,,,,,
c_r_rc_100_100/c101.txt ,1.652571909,1.68225617,1.796246217,11.29650021,,,,,,,
c_r_rc_100_100/c101.txt ,1.915154569,1.946064636,1.613972453,9.798247099,,,,,,,
c_r_rc_100_100/c101.txt ,1.631228045,1.663507608,1.978850396,13.65585518,,,,,,,
c_r_rc_100_100/c101.txt ,1.623552311,1.636944214,0.824851962,6.047385931,,,,,,,
c_r_rc_100_100/c101.txt ,1.669226764,1.674324856,0.305416402,6.591295004,,,,,,,
c_r_rc_100_100/c101.txt ,1.639833137,1.683027753,2.634086052,8.247650862,,,,,,,
c_r_rc_100_100/c101.txt ,1.623980747,1.653989174,1.847831468,5.678735971,,,,,,,
c_r_rc_100_100/c101.txt ,1.661169644,1.679110897,1.080037341,8.915835857,,,,,,,
c_r_rc_100_100/c101.txt ,1.68495359,1.68495359,0,4.237359047,,,,,,,
c_r_rc_100_100/c101.txt ,1.658313176,1.684851905,1.600344813,9.250559092,,,,,,,
c_r_rc_100_100/c101.txt ,1.691912656,1.691912656,0,4.267583847,,,,,,,
c_r_rc_100_100/c101.txt ,1.621497162,1.674065805,3.241981785,8.724220037,,,,,,,
c_r_rc_100_100/c101.txt ,1.657568313,1.677756023,1.217911184,8.372906923,,,,,,,
c_r_rc_100_100/c101.txt ,1.934824542,1.947121057,0.635536412,6.338395119,,,,,,,
c_r_rc_100_100/c101.txt ,1.644357683,1.653630918,0.563942696,5.830439091,,,,,,,
c_r_rc_100_100/c101.txt ,1.619434676,1.649994949,1.887095165,7.731328964,,,,,,,
c_r_rc_100_100/c101.txt ,1.625804898,1.664728793,2.394130761,5.730396986,,,,,,,
c_r_rc_100_100/c101.txt ,1.638856557,1.688118064,3.005846181,5.685544968,,,,,,,
c_r_rc_100_100/c101.txt ,1.661931047,1.661931047,0,4.329970837,,,,,,,
c_r_rc_100_100/c101.txt ,1.652269996,1.652269996,0,4.510996103,,,,,,,
c_r_rc_100_100/c101.txt ,1.64072967,1.641711744,0.059855914,5.921587944,,,,,,,
c_r_rc_100_100/c101.txt ,1.675667554,1.675931872,0.015773843,6.31885004,,,,,,,
c_r_rc_100_100/c101.txt ,1.648039928,1.697167392,2.980963255,6.581084967,,,,,,,
c_r_rc_100_100/c101.txt ,1.641402361,1.679901092,2.345478005,7.802834988,,,,,,,
c_r_rc_100_100/c101.txt ,1.644758418,1.69631188,3.134409392,6.419090986,,,,,,,
c_r_rc_100_100/c101.txt ,1.630311462,1.661184444,1.893686103,8.514317036,,,,,,,
c_r_rc_100_100/c101.txt ,1.653735668,1.653735668,0,4.442756891,,,,,,,
c_r_rc_100_100/c101.txt ,1.661260611,1.690529826,1.761867723,5.981278181,,,,,,,
c_r_rc_100_100/c101.txt ,1.896560482,1.922000115,1.341356299,13.18316579,,,,,,,
c_r_rc_100_100/c101.txt ,1.653190224,1.673042204,1.200828555,8.138419867,,,,,,,
c_r_rc_100_100/c101.txt ,1.640310141,1.677945171,2.294385011,7.05100894,,,,,,,
c_r_rc_100_100/c101.txt ,1.631479434,1.639411216,0.486171156,5.449448109,,,,,,,
c_r_rc_100_100/c101.txt ,1.68495359,1.68495359,0,4.529441834,,,,,,,
c_r_rc_100_100/c101.txt ,1.678546607,1.678546607,0,4.495401144,,,,,,,
c_r_rc_100_100/c101.txt ,1.679037263,1.679037263,0,4.218280077,,,,,,,
c_r_rc_100_100/c101.txt ,1.661907639,1.661907639,0,4.141143799,,,,,,,
c_r_rc_100_100/c101.txt ,1.654093844,1.678688211,1.486878551,13.07728696,,,,,,,
c_r_rc_100_100/c101.txt ,1.671082765,1.671082765,0,4.172237158,,,,,,,
c_r_rc_100_100/c101.txt ,1.680691676,1.684776795,0.243061737,5.807102919,,,,,,,
c_r_rc_100_100/c101.txt ,1.62260114,1.682268468,3.677264025,8.885726929,,,,,,,
c_r_rc_100_100/c101.txt ,1.639833137,1.689094645,3.00405609,6.02820015,,,,,,,
c_r_rc_100_100/c101.txt ,1.656845466,1.656845466,0,4.238403082,,,,,,,
c_r_rc_100_100/c101.txt ,1.688474677,1.69631188,0.46415874,5.589764118,,,,,,,
c_r_rc_100_100/c101.txt ,1.922133055,1.927021924,0.254346007,6.544674158,,,,,,,
c_r_rc_100_100/c101.txt ,1.639668107,1.681092411,2.526383497,6.124841928,,,,,,,
c_r_rc_100_100/c101.txt ,1.656148993,1.689094645,1.989292748,8.372629881,,,,,,,
c_r_rc_100_100/c101.txt ,1.626406047,1.683575093,3.515053681,9.311117172,,,,,,,
c_r_rc_100_100/c101.txt ,1.643867028,1.643867028,0,4.926697969,,,,,,,
c_r_rc_100_100/c101.txt ,1.680321649,1.680321649,0,4.245742083,,,,,,,
c_r_rc_100_100/c101.txt ,1.648249008,1.699603267,3.115685711,7.183245897,,,,,,,
c_r_rc_100_100/c101.txt ,1.658655225,1.658655225,0,4.526255131,,,,,,,
c_r_rc_100_100/c101.txt ,1.626902475,1.68225617,3.402397856,9.250850916,,,,,,,
c_r_rc_100_100/c101.txt ,1.690353031,1.690353031,0,6.376734972,,,,,,,
c_r_rc_100_100/c101.txt ,1.688038224,1.688038224,0,7.196151972,,,,,,,
c_r_rc_100_100/c101.txt ,1.626160531,1.681663086,3.413104293,8.218827963,,,,,,,
c_r_rc_100_100/c101.txt ,1.625804898,1.693536376,4.166027409,7.549087048,,,,,,,
c_r_rc_100_100/c101.txt ,1.677170589,1.677170589,0,4.424516201,,,,,,,
